 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
The Bruno Mars ringtones is Bruno Mars songs as ringtones using the application.There are 20 music with more to come.;0;0;0;;;;
1:The you 2:The lazy song 3:Just the way u are 4:Nothin' on you 5:Billionaire 6:Who is 7:Runaway baby 8:Again 9:Runaway baby 10:Somewhere in brooklyn 11:Window 12:Genade 13:Rest of my life 14:Rest 15:Faded 16:Never say you can't 17:Today my life begins im1 18:Turn around 19:Lights 20:Nothing on you feature  set phone ringtones  set notification ringtones  save to sd card or Internal phone storage Enjoy these ringtongs.;0;1;0;;;;
Bruno Mars in the U.S.;0;0;0;;;;
state of Hawaii Waikiki (Waikiki) on the island born and raised, the parents of six children in one, and parents are Puerto Rico and the Philippines.;0;0;0;;;;
He was born in a musical family, gave him a wide range of Reggae, rock, hiphop and R & B and other styles.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.roy.heyeKatyPerry;4;0;4;;;;
##\APPLICATION\MUSIC AND AUDIO\ desc.txt;4;0;4;;;;
The Katy Perry ringtones is Katy Perry songs as ringtones using the application.There are 20 music with more to come.;0;0;0;;;;
1:Starstrukk 2:California gurls 3:E.t.;0;0;0;;;;
4:Firework 5:Hot n cold 6:I kissed a girl 7:I m still breathing 8:If you can afford me 9:Last friday night 10:Lost clip 11:Not like the movies 12:One of the boys 13:Pearl 14:Teenage dream 15:The one that got away 16:Thinking of you 17:Ur so gay 18:Waking up in begas 19:Waking up in vegas 20:California gurls feature  set phone ringtones  set notification ringtones  save to sd card or Internal phone storage Enjoy these ringtongs.;0;1;0;;;;
"Katy Perry (born Katheryn Elizabeth Hudson; October 25, 1984) is an American singersongwriter and actress.";0;0;0;;;;
Born in Santa Barbara, California, and raised by Christian pastor parents, Perry grew up listening to only gospel music and sang in her local church as a child.;0;0;0;;;;
After earning a GED during her first year of high school, she began to pursue a career in music.;0;1;0;;;;
As Katy Hudson, she released a selftitled gospel album in 2001, which was unsuccessful.;0;0;0;;;;
She later recorded an album with production team;0;0;0;;;;
The Matrix and completed the majority of a solo album from 2004 5, neither of which were released  a;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.appsbar.PsychResident49157;4;0;4;;;;
##\APPLICATION\MEDICAL\ desc.txt;4;0;4;;;;
Tips and helpful info for a psych resident.;0;0;0;;;;
Includes an unattributed summary of DSM IV criteria and drugs.;0;0;0;;;;
I hope this helps all psychics out there.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##de.hafas.android.vasttrafik;4;0;4;;;;
##\APPLICATION\TRANSPORTATION\ desc.txt;4;0;4;;;;
Find your journey with public transport in the western part of Sweden Our travel planner finds the smartest trips for you.;0;0;0;;;;
Features are for example:  Plan yor trip between two addresses/stops.;0;0;0;;;;
If you have any problems using the app, Please check the Online Document: http://goo.gl/C2SAl Pro version is also available.;0;0;0;;;;
The Bruno Mars ringtones is Bruno Mars songs as ringtones using the application.There are 20 music with more to come.;0;0;0;;;;
Disturbance information and new trips suggestions if your trips is not possible due to delays (Real time information is not available everywhere).;0;0;0;;;;
Recent changes: Bug fixes (fixes a problem that the app sometimes chrash when started).;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.fivemobile.thescore;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
Best Sports App on Android;0;0;0;;;;
Scores, Stats & More.;0;0;0;;;;
Now with Live Event Push Alert Notifications.;0;1;0;;;;
Coverage includes: American Football (NFL, NCAAF, CFL), Basketball (NBA, WNBA, NCAAB, NCAAWB), Baseball (MLB), Hockey;0;0;0;;;;
"NFL Football ; Australian Open Tennis;  NBA Basketball;  Indepth MMA coverage featuring interactive live blogs;  Cricket live results;";0;0;0;;;;
NOTE: Due to Android limitations, the widget is NOT available when the application is saved to your SD card.;0;0;0;;;;
Available on OS 1.6 and above.;0;0;0;;;;
Recent changes: Fixed specific force closes when opening box scores Fixed force closes when viewing live blogs or tweets on HTC devices Fixed force closes when browsing the calendar or videos for UEFACL Fixed a bug where UEFACL and Serie A games were not showing up in My Score In the widget, games with faved teams are moved to the top of the list;1;1;1;;;;
Content rating: Everyone;0;0;0;;;;
##com.aws.android.tsunami;4;0;4;;;;
##\APPLICATION\WEATHER\ desc.txt;4;0;4;;;;
This is a widget, not an application.;0;0;0;;;;
Press and hold on the free space on the home screen to add.;0;0;0;;;;
For more detailed information on how to add this widget, please read below.;0;0;0;;;;
Get your time and local weather information presented together right on your Android home screen;0;0;0;;;;
Now you can view your local time along with detailed weather information, including today hi / lo, 4day forecast and more. C;0;1;0;;;;
Plus, add even more widgets to your home screen for additional locations as many as you like /;0;0;0;;;;
To add this widget to your Android homescreen, please follow these steps: 1.;0;0;0;;;;
Go to the home screen of the Android device (Press the ome  lea;0;0;0;;;;
"Make sure that that half of the screen is free from icons ; WeatherBug Time & Temp widget is large.";0;0;0;;;;
Choose an empty space for your widget.;0;0;0;;;;
Tap the space and hold your finger there (long press) until the menu appears.;0;0;0;;;;
Alternatively, you can press the  menu;0;0;0;;;;
button and then press the add   me;0;0;0;;;;
button that should now be available on the screen.;0;0;0;;;;
Both methods should have resulted in a popup menu-window labeled add to Home screen .;0;0;0;;;;
Tap the menu item labeled widgets .  po;0;0;0;;;;
"Navigate through the list of installed widgets and select ""WeatherBug Time & Temp"" to place on the home screen.";0;0;0;;;;
Click on and you will add it to your home screen.;0;0;0;;;;
Press the  ome  ill;0;0;0;;;;
The WeatherBug Time & Temp widget should appear on the home screen.;0;0;0;;;;
To relocate the widget, tap it and hold your finger down.;0;0;0;;;;
Now you should be able to drag it to the location on the screen that you want.;0;0;0;;;;
Recent changes:  improved battery life  improved location tracking;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.roy.heyeFunnyFartSounds;4;0;4;;;;
##\APPLICATION\MUSIC AND AUDIO\ desc.txt;4;0;4;;;;
Funny fart sounds ringtones is an application that features Funny fart sounds that can be use as ringtones.;0;0;0;;;;
There are 20 sounds with more to come.;0;0;0;;;;
feature  set phone ringtones  set notification ringtones  save to sd card or Internal phone storage Enjoy these ringtongs.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.FreeProxy54172;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Unblock sites and surf anonymously with this free proxy app.;0;0;0;;;;
Free Proxy allows you to reach blocked sites and surfing securely.;0;0;0;;;;
Full broadband speed connections.;0;0;0;;;;
Totally free to use.;0;0;0;;;;
Premium VPN is available.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##ar.com.indiesoftware.xbox;4;0;4;;;;
##\APPLICATION\ENTERTAINMENT\ desc.txt;4;0;4;;;;
See your Profile, Friends, games and achievements Send & Receive messages (GOLD) Widgets for notifications (new messages, friends online) Follow me Indiesoftware NEW: KEEP ME LOGGED (BETA) The app will try to keep you logged all day, you can disabled this option in the Settings Menu SEND STATISTICS (WEEKLY) The app will send information to the server to help build a DB with Rankings, Games and Achievements This option can be disabled on the Settings Menu The app will only send information about your profile, games and achievements The app will NOT send any information about friends or messages Upgrade to PRO to get: Chat on the Wall Event Organization Profile Edit New Widget (friends 2x2 2x4) ATTENTION: If you upgrade to PRO, you dont need to download the PRO version.;0;1;0;;;;
This same version will enable all features of PRO.;0;0;0;;;;
You should download always (if reinstalling) the LITE version NEW PERMISSION: READ/WRITE calendar so you can get reminders for Events section (PRO;1;1;1;;;;
Move to SD Notifications without Widgets (PRO);0;0;0;;;;
Keep me Logged Send Statistics Upload Friends (for;0;0;0;;;;
"NEW FEATURES: Rankings (PRO); Guides (PRO); YouTube (PRO); Friend of Friends (PRO); Major Nelson Blogs (PRO); Game Reviews (PRO); Game Search (PRO); rankings) Refresh Times Twitter (PRO) Facebook (PRO) Autorefresh Menu (for widgets and notifications) What you get:  New UI  Fixed";0;0;0;;;;
"More Templates;  Messages & Friends Improvements;  Some FC bug fixed;  Notifications bug fixed;";0;0;0;;;;
Some speed improvements;0;0;0;;;;
JUST TO BE CLEAR THIS APP STORES YOUR EMAIL/PASSWORD IN A PRIVATE AREA OF THE PHONE AND;0;0;0;;;;
BOTH ARE SENT TO www.XBOX.com using HTTPS.;0;0;0;;;;
Friend List (please send feedback);0;0;0;;;;
I NEVER GET YOUR EMAIL OR PASSWORD.;0;0;0;;;;
IF YOU HAD PROBLEMS WITH YOUR ACCOUNT HACKED YOU SHOULD LOOK SOMEWHERE ELSE PS: And Oliver, you are are a poor soul;0;0;0;;;;
Recent changes: 2.2.8 Fix ICS FC;0;0;0;;;;
Content rating: Medium Maturity;0;0;0;;;;
##kiefer.JobMo;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
JobMo  Now with WorldWide localization. x;0;0;0;;;;
Find jobs near you in over 20 different countries.;0;0;0;;;;
Looking for a better job;0;0;0;;;;
Job Mo allows you to search for millions of jobs and apply to them directly on your mobile device.;0;0;0;;;;
View and compare salaries and trends for your desired jobs to find the best job available.;0;0;0;;;;
Find jobs anywhere using Google Maps.;0;0;0;;;;
At Kiefer Consulting, Inc.;0;0;0;;;;
we strive to provide the best engineered, easiest to use and feature rich products in the industry.;0;0;0;;;;
Feel free to contact us via email at infokieferconsulting.com, by phone (800) 7941928 or blog about our applications.;0;0;0;;;;
Interested in joining the Mobile Innovation Team;0;0;0;;;;
Send your resume to resumeskieferconsulting.com DISCLAIMER: Job Mo uses job search aggregators as data sources.;0;0;0;;;;
Job listings are obtained by vendors such as Indeed.;0;0;0;;;;
However, this application is not affiliated with Indeed or any other job search aggregators.;0;0;0;;;;
JobMo, Job Search, Job Finder, Find Jobs, Job Search Engine, Employers, Recruiters.;0;0;0;;;;
Recent changes: Fixed a few bugs and issues.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.IndianRail9724;4;0;4;;;;
##\APPLICATION\TRANSPORTATION\ desc.txt;4;0;4;;;;
This app takes to you useful link from indianrail.gov.in to save time .;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.SalonStartup33465;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
Salon Startup is an app that will help those thinking of starting up a hair or beauty salon.;0;0;0;;;;
Starting up a hair salon or a beauty salon is tough, but this app will cover the basics so you know where to start, this will make everything easier in the long run.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##tobi.tools.timetable;0;0;0;;;;
##\APPLICATION\EDUCATION\ desc.txt;4;0;4;;;;
Schedule Deluxe  the ultimate helper for school and study.;1;0;0;;;;
The app is designed for pupils who want to have their entire school life under control, students who want more control in their studies or simply parents who want to their childrens schedule with them.;0;0;1;;;;
In addition to the curriculum itself can also manage homework and grades easy and straightforward.;0;0;0;;;;
In order not to go into detail, I will mention only briefly discuss the five main reasons for this timetable: 1) Main Function: Schedule Colors for subjects can be chosen freely.;1;0;0;;;;
Day View (Classic) Week, next x subjects.;0;1;0;;;;
Several lesson plans are created.;0;0;0;;;;
2) very comfortable input (without limitations): Speech recognition and date picker.;0;1;0;;;;
Entries can be edited, deleted and copied.;0;0;0;;;;
3) homework assignments with priority and due date 4) exams and grades Exams can be created and applied including weighting grades (credit).;0;1;0;;;;
The average is calculated automatically.;0;0;0;;;;
5) widget and backup function Note: Widgets do not always work from SD card;0;0;0;;;;
Have fun with the app.;0;0;0;;;;
For further details and questions: http://tobiasschuerg.de/stundenplan;0;0;0;;;;
Recent changes: if you want to help translating this app into another language, you can do: http://bit.ly/schooltt Finally V2.0 is online;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.barkside.moodmeter;4;0;4;;;;
##\APPLICATION\HEALTH AND FITNESS\ desc.txt;4;0;4;;;;
Mood Meter is an app and widget that tells you how happy or moody you are with a score, droid smiley and messages.;0;0;0;;;;
It also gives you helpful tips if you need to cheer up;0;0;0;;;;
It does this by taking various bits of information from your phone, including:;0;0;0;;;;
How long ago someone rang or text you. Ly;0;0;0;;;;
What the weather is near you. it;0;0;0;;;;
What day of the week it is. .;0;1;0;;;;
When your nearest event in your calendar is (nonrecurring events). cl;1;1;1;;;;
What time of day it is. in;0;1;0;;;;
How connected you are to the outside world (WIFI / 3G etc). ve;0;0;0;;;;
How much battery life you have. si;0;0;0;;;;
It then gives you various percentage scores, and humorous phrases and tips to cheer yourself up, or if you are feeling good  just keeps you feeling good;0;0;0;;;;
The widget displays the smiley droid that best suits you, and also the overall percentage.;0;0;0;;;;
Also included is Mate Mood Meter  are you happy with your mates;0;0;0;;;;
Funny and sometimes silly phrases about how matched the contact is between your top contacts.;0;0;0;;;;
NEW FEATURE: World Mood Meter (beta)  This unique feature compares your mood to those Mood Meter users around the world.;0;0;0;;;;
Ever wanted to know whether you were happier than average;0;0;0;;;;
Well now you can, with the world mood, as well as individual country moods available, together with amusing phrases to keep you entertained.;0;0;0;;;;
Note this is adsupported to pay for the serverside technology.;0;0;0;;;;
Please comment if you like it;0;0;0;;;;
See website for permission reasons and other details.;0;0;0;;;;
Please email barkside.appsgmail.com if you have problems.;0;0;0;;;;
Please note that Calendar and SMS features are not guaranteed to be available on all devices.;0;1;0;;;;
PLEASE EMAIL IF YOU HAVE SMS ISSUES AND WOULD LIKE TO HELP FIND THE PROBLEM.;0;0;0;;;;
UPGRADE to Mood Meter Pro to remove ads, and for more configuration options such as:  The times you work (for nightshift workers). ta;0;0;0;;;;
Your name, so Mood Meter can personalize your phrases. fi;0;0;0;;;;
Which calendars to include in your mood rating.;0;1;0;;;;
How much history to use in the Mate Mood Meter ratings. ig;0;0;0;;;;
Recent changes: Calendar Mood should be fixed for Android versions above 2.2.;0;1;0;;;;
Please let us know if you are still having issues.;0;0;0;;;;
Previous version 0.99 changes: NEW World Mood Meter;0;0;0;;;;
Compare your mood with others around the world.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.lafitness.lafitness;4;0;4;;;;
##\APPLICATION\HEALTH AND FITNESS\ desc.txt;4;0;4;;;;
LA Fitness Mobile is now available to anyone with an LA Fitness membership or anyone thinking about getting fit.;0;0;0;;;;
At LA Fitness, we want you to exercise your options   Fi;0;0;0;;;;
and this complimentary application helps you stay connected to LA Fitness no matter where you are.;0;0;0;;;;
Search: Search for clubs with the amenities you are looking for. A;0;0;0;;;;
Find a class that fits your interests and schedule, or discover leagues to get your competitive juices flowing.;1;0;1;;;;
Favorites: Stay organized by keeping your frequented clubs & group exercise classes readily available within favorites.;0;0;0;;;;
Buzz: Keep up with our latest tweets, postings and specials.;0;0;0;;;;
Membership: Update your membership profile, view your receipts, and keep track of your workouts by reviewing your checkins.;0;1;0;;;;
Reserve: Schedule your personal training or reserve a racquetball court.;1;0;0;;;;
Guests: Add friends to your VIP list and they will enjoy a complimentary 2 week guest pass to work out whenever they like, with or without you.;0;0;0;;;;
Report issues to: mikerlafitness.com;0;0;0;;;;
Recent changes:  Requires Android 2.1 or Above   Redesigned reservation search  Added member testimonials (When not signed in)  Misc bug fixes and stability improvements;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##net.mdtec.sportmate;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
Football scores and commentary with fast PUSH ALERTS from 175 global national and international leagues, competitions and cups plus detailed live and historical stats, fixtures, league tables and news plus women and youth leagues. OR;0;0;0;;;;
It's the football application to keep you fully informed  never miss your team scores again. le;0;0;0;;;;
See what some of our users have to say:  Does just what I want.;0;0;0;;;;
Except make my team win;0;0;0;;;;
Like the head2head info and also the last 15 games played.;0;0;0;;;;
U won't regret;0;0;0;;;;
Awesome;0;0;0;;;;
Absolutely amazing;0;0;0;;;;
For footy junkies and statisticians this is it;0;0;0;;;;
Covers most leagues and cups on the entire earth of football.;0;0;0;;;;
I've not found an app that does it better.;0;0;0;;;;
Top rate, one app covering it all...a must have for any level of football fans Fast PUSH EVENT ALERTS  not battery hungry score polling like some our competitors. ,;0;1;0;;;;
"User selectable for LEAGUES; Kickoff, ended and goals or TEAMS; Kickoff, half time, 2nd half, ended, goals, cards and substitutions.";0;0;0;;;;
Needs Android 2.2 or later;0;0;0;;;;
Live betting odds constantly updated.;0;1;0;;;;
Due to Market Place restrictions, odds are for information use only.;0;0;0;;;;
SportMateacovers most leagues and football (soccer) clubs and gives:  Push alerts,  user selectable for leagues or teams,  Live betting odds,  Real time stats,  possession, cards, on/off shots, goals, etc. men;0;0;0;;;;
Team sheets, league tables, fixtures list and all last season results,  Kickoff times shown in your local times,  MyFavouritesafor quick access to favourite teams / leagues,  Data optimised for fast access and lower costs England,  English Premier Lea;0;0;0;;;;
Recent changes: Reworked competitions page for easier navigation More services to the cloud Faster page loading Fix potential Force Close issue and other minor bug fixes.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.GUNSFORSALE34948;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
Guns for sale;0;0;0;;;;
A app that allows you to search our inventory of the firearms we have for sale.;0;0;0;;;;
The Buckeye Armory is a fast growing business in ohio and we sell firearms at a very low price.;0;0;0;;;;
If you like to hunt, plink or just are a gun nuts that this apps for you.;0;0;0;;;;
Content rating: High Maturity;0;0;0;;;;
##com.pimsystems.free;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Our groundbreaking beOrganized Calendar and Tasks lets you easily arrange and rearrange your day using an intuitive agenda view.;1;1;1;;;;
events and todo on one, easytoview list every action completed with a minimum number of taps. ng an;0;1;0;;;;
full sync with Google Calendar (TM) and Google Tasks.;1;1;1;;;;
No ads  beOrganized provides: full sync with Google tasks;1;0;0;;;;
both local and Google Task sync modes every action completed with a minimum number of taps.;0;0;0;;;;
Please consider buying the full version for: Widgets Voice recognition to quickly add events and tasks;0;1;0;;;;
add items directly on the selected day ove tasks to other days with just 2 taps.;1;1;1;;;;
multiple, color coded calendars events and todo on one, easytoview list:;1;1;3;;;;
Select default calendar options:;0;1;0;;;;
Alternative time and date formats arranging and rearranging your day made simple and intuitive.;1;1;0;;;;
Tags: calendar, tasks, agenda, business calendar, Google Calendar (TM), Google Tasks, CalenGoo (TM), Pocket Informant (TM), Jorte (TM), calendar pro, agenda widget, calendar widget All trademarks are the property of their respective owners.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.kendroid.android.routetracker;4;0;4;;;;
##\APPLICATION\HEALTH AND FITNESS\ desc.txt;4;0;4;;;;
Route Tracker is a GPS application for tracking/loading routes in your android mobile phone that gives you a real time response on your location.;0;0;0;;;;
It supports  GPX file import,  GPX/KML/google map, embedded HTML file export,  AutoLap for each mile/kilometer,  ManualLap,  Audio reminder for auto lap time reminding,  Vibration for auto lap,  Sharing to friends,  Open street view for current / record location,  Compass  ,Duration, distance, pace and calories indication,  Location geocoding for each lap,  Power saving mode,  Elevation,  Sync with Google Calendar,  Weather information (on KML/HTML) ,Route Tracker logs your route every second after you started your activity if GPS signal is available.;1;1;1;;;;
Feature: pace and calories indication,  Location geocoding for each lap,  Power saving mode,  Elevation,  Sync with Google Calendar,  Weather information (on KML/HTML) ,Route Tracker logs your route every second after you started your activity if GPS signal is available.;1;1;1;;;;
Recent changes: v1.1.11  Can import GPX with Heart Rate (Heart Rate Detection would be available later)  Pace Chart changed after loading a GPX record  Default Setting changed  Minor Bugs Fixed v1.1.12  Can share previously saved record (loaded GPX record).;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.lifetimefitness.ltfmobile;4;0;4;;;;
##\APPLICATION\HEALTH AND FITNESS\ desc.txt;4;0;4;;;;
LIFE TIME FITNESS Mobile gives you the onthego ability to find out what's happening at any LIFE TIME FITNESS location.;0;0;0;;;;
Quickly access Group Fitness class schedules.;1;0;1;;;;
Check on upcoming events and activities.;1;1;1;;;;
Choose your specific interests and view class, lesson and scheduling information.;0;0;0;;;;
Home Club: Get a quick snapshot of everything that's happening at your home club.;0;0;0;;;;
Search: Find any LIFE TIME FITNESS location.;0;0;0;;;;
Search Results: Select from a personalized list of classes, lessons, events and activities.;0;1;1;;;;
"Sort results by ""Class"", ""Time"", ""Instructor"" and ""Location"" to find exactly what you need.";0;0;0;;;;
Details: View detailed scheduling information for search results.;0;0;0;;;;
Display the description, location, instructor, time and duration.;0;0;0;;;;
Calendar: Once you've found your class, add it to your personal calendar.;1;1;1;;;;
Try LIFE TIME FITNESS Mobile today;0;1;0;;;;
Recent changes: Added support for new Life Time Fitness locations.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.VideoReggaeton21040;4;0;4;;;;
##\APPLICATION\MUSIC AND AUDIO\ desc.txt;4;0;4;;;;
Odras encontrar too sobre el undo del reggaeton, Conciertos, Videos, Etc;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.Jailbreakno18880;4;0;4;;;;
##\APPLICATION\EDUCATION\ desc.txt;4;0;4;;;;
Never do the jailbreak, a easy thing for don't install cydia, installer, icy...;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.SaintsDat29795;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
Saints Dat;0;0;0;;;;
is the ultimate New Orleans Saints fan app.;0;0;0;;;;
You'l find the season schedule with info on how to catch the games, up to date roster information, and more.;1;1;1;;;;
Take the time to see some greats pictures, get social media updates, news from around the web, a full map of the Superdome and even set reminders so you never miss a game all with Saints Dat.;0;1;0;;;;
Remember in Louisiana we bleed Black and Gold, Who dat say dey gonna beat dem Saints;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.keros.android.kerosplanner;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Caros is a personal planner and diary which supports monthly and weekly planning based on full of calendar functionality.;1;1;0;;;;
And also supports to synchronize with Google web calendar.;1;1;1;;;;
Management of weekly plan;0;0;0;;;;
Daily schedule;1;0;0;;;;
Simple todo and memo function;0;0;0;;;;
Google calendar synchronization;1;1;3;;;;
Home screen widget;0;0;0;;;;
Backup and Password management;0;0;0;;;;
Screen theme function(Changeable Text Color, Font Type, Font Size);0;0;0;;;;
[Major feature]  Management of monthly plan;1;1;0;;;;
Recent changes:  Implement Screen mode option.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.appsbar.HunanBody32629;4;0;4;;;;
##\APPLICATION\MEDICAL\ desc.txt;4;0;4;;;;
Content rating: Low Maturity;0;0;0;;;;
##my.Frank;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
AA Task is easytouse but, powerful schedule & memo app.;1;0;0;;;;
memos, anniversaries, objectives and worths;0;0;0;;;;
Sort by DDay(Anniversary),  Set alarm;1;1;3;;;;
Set repeat schedules;1;0;1;;;;
Set priority;0;0;0;;;;
Voice input;0;0;0;;;;
Calendar widget;1;1;2;;;;
Set widget theme/size;0;0;0;;;;
Data export/import;0;0;0;;;;
Set national holidays;0;1;0;;;;
Sync with Google calendar;1;1;1;;;;
Supported languages:  English;0;0;0;;;;
Set password;0;0;0;;;;
Check list;0;0;0;;;;
Features:  Add/Edit/Delete schedules,;1;0;3;;;;
Recent changes: v1.3.1b  DB lock bug fix;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##netgenius.bizcal;0;0;0;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Business Calendar is a complete calendar application that is synchronising with your Google calendars;1;1;1;;;;
smooth scroll and zoomable multiday view (114 days);0;1;0;;;;
graphical and textual presentation;0;0;0;;;;
month, agenda, day and event view;1;1;0;;;;
quickly fade in/out calendars using the favorite bar;1;1;1;;;;
search function;0;0;0;;;;
configurable widgets in different sizes for month, week, agenda and day view;1;1;1;;;;
easy switching between timeline bars and event titles in month view;1;1;0;;;;
intuitive new handling option: just move your finger over some days of interest in month view to open them in the multiday view;1;1;0;;;;
quick day overview when adding a new event;1;1;1;;;;
many options for recurrent events;0;1;0;;;;
to add a recurrent event that takes place every other week on Tuesday and Thursday;1;1;1;;;;
contextsensitive help system to optimize your work with Business Calendar This is the free version of Business Calendar, it is containing (unintrusive) ads in some views but is fully functional;0;1;0;;;;
Even so, the adfree paid version offers some additional features:;0;0;0;;;;
drag&drop mode in the multiday view to move and copy events;0;1;0;;;;
option to link a contact to an event;0;1;0;;;;
configurable font sizes for the app and the widgets;0;0;0;;;;
option to select individual calendars for each widget;1;1;0;;;;
own Business Calendar reminders Please do not move the application to the sd card if you want to use the widgets general limitation of the Android operating system);1;1;1;;;;
The app depends on the reminders of the stock calendar application please make sure you have not disabled them if you want to get alarm messages for your events (the paid version also includes own Business Calendar reminders);0;1;0;;;;
the color of the calendar also is showing up now in the event input mask;1;1;1;;;;
you can't delete or edit events any more if you don't have write permissions for them;1;1;1;;;;
a new option 'Copy Event' has been added in the week view;1;1;1;;;;
the agenda widget is scrollable and all widgets are resizeable now on devices running Android version 3.x or 4.x;0;0;0;;;;
some more changes and bug fixes;0;0;0;;;;
Recent changes:  new option to specify which Business Calendar widgets should be available when adding a new widget to your home screen;1;1;2;;;;
Content rating: Everyone;0;0;0;;;;
##com.appsbar.Ligachilena43663;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
campeonato de clausura 2011, petrobras chile, primera a, futbol chileno.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.Jailbreakit34026;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
App helps Android and iOS users jailbreak iOS devices.;0;0;0;;;;
This is mainly for ipod and iphone but there are videos for ipad and ipad 2;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appsbar.SecondLife25728;4;0;4;;;;
##\APPLICATION\NEWS AND MAGAZINES\ desc.txt;4;0;4;;;;
News about secondlife and vienna freebies of the virtual world of second life created by Lindenlab and his residents;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.roy.heyeShakira;4;0;4;;;;
##\APPLICATION\MUSIC AND AUDIO\ desc.txt;4;0;4;;;;
The Shakira ringtones is Shakira songs as ringtones using the application.There are 20 music with more to come.;0;0;0;;;;
Shakira Isabel Mebarak Ripoll (born February 2, 1977),[2] known professionally as Shakira (pronounced /k/, Spanish: [akia]),[3] is a Colombian singer, songwriter, musician, record producer, dancer, and philanthropist who emerged in the music scene of Colombia and Latin America in the early 1990s.;0;0;0;;;;
Born and raised in Barranquilla, Colombia, Shakira revealed many of her talents in school as a live performer, demonstrating her vocal ability with rock and roll, Latin and Middle Eastern influences with her own original twist on belly dancing.;0;0;0;;;;
Shakira is a native Spanish speaker and also speaks fluent English and Portuguese as well as some Italian, French and Arabic.[4];0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.roy.heyeBeyonce;4;0;4;;;;
##\APPLICATION\MUSIC AND AUDIO\ desc.txt;4;0;4;;;;
The Beyonce ringtones is Beyonce songs as ringtones using the application.There are 20 music with more to come.;0;0;0;;;;
Beyonc  Giselle Knowles (born September 4, 1981), often known simply as Beyonc , is an American R&B recording artist, actress and fashion designer. 10;0;0;0;;;;
Born and raised in Houston, Texas, she enrolled in various performing arts schools and was first exposed to singing and dancing competitions as a child.;0;0;0;;;;
Knowles rose to fame in the late 1990s as the lead singer of the R&B girl group Destiny's Child, one of the world's bestselling girl groups of all time;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##bside.extremeambient.net;0;0;0;;;;
##\APPLICATION\TRANSPORTATION\ desc.txt;4;0;4;;;;
Japan Trains is the first application for Android in Romaji that allows us to find train routes and schedules in Japan, in the vein of: Hyperdia, Jorudan...;0;0;1;;;;
Recent changes:  Added new stations.;0;0;0;;;;
